Date;Real GDP Belgium
1960/Q1;95.49304419
1960/Q2;96.58146347
1960/Q3;97.75465726
1960/Q4;99.00583823
1961/Q1;99.98913838
1961/Q2;101.3668948
1961/Q3;102.7480558
1961/Q4;104.0716133
1962/Q1;105.7239122
1962/Q2;106.7853861
1962/Q3;107.8231151
1962/Q4;108.9929735
1963/Q1;109.1355675
1963/Q2;110.9741271
1963/Q3;113.0333532
1963/Q4;115.0900339
1964/Q1;117.9789789
1964/Q2;119.4186816
1964/Q3;120.5326925
1964/Q4;121.4442885
1965/Q1;122.7895835
1965/Q2;123.6482599
1965/Q3;124.5668281
1965/Q4;125.5610405
1966/Q1;126.1696283
1966/Q2;127.3527081
1966/Q3;128.600615
1966/Q4;129.8710265
1967/Q1;131.0593611
1967/Q2;132.2726462
1967/Q3;133.5304611
1967/Q4;134.9394761
1968/Q1;135.2627911
1968/Q2;137.2597368
1968/Q3;139.5210121
1968/Q4;141.9464058
1969/Q1;144.0748926
1969/Q2;146.5365104
1969/Q3;148.9133339
1969/Q4;151.1568725
1970/Q1;154.8437529
1970/Q2;156.0253979
1970/Q3;157.4078536
1970/Q4;158.9795761
1971/Q1;159.6732757
1971/Q2;161.5890055
1971/Q3;163.6600055
1971/Q4;165.8753672
1972/Q1;167.4381845
1972/Q2;169.9091204
1972/Q3;172.4891504
1972/Q4;175.1648238
1973/Q1;177.9987594
1973/Q2;180.763615
1973/Q3;183.2132451
1973/Q4;184.9636818
1974/Q1;190.6395065
1974/Q2;190.0479181
1974/Q3;188.8548234
1974/Q4;187.925845
1975/Q1;183.1333989
1975/Q2;185.0349822
1975/Q3;188.0303167
1975/Q4;191.2177918
1976/Q1;196.5408073
1976/Q2;197.6647788
1976/Q3;197.8183391
1976/Q4;197.6421572
1977/Q1;196.7916854
1977/Q2;197.7090248
1977/Q3;199.2046201
1977/Q4;200.9051316
1978/Q1;202.7234643
1978/Q2;203.835748
1978/Q3;204.7646865
1978/Q4;205.8686985
1979/Q1;205.3091402
1979/Q2;207.6871872
1979/Q3;210.4073577
1979/Q4;212.9198647
1980/Q1;218.2309832
1980/Q2;218.8497385
1980/Q3;218.6370881
1980/Q4;218.0688638
1981/Q1;217.4966626
1981/Q2;217.5255478
1981/Q3;217.9109247
1981/Q4;218.4131954
1982/Q1;219.0395733
1982/Q2;219.1378388
1982/Q3;219.1202121
1982/Q4;219.2331033
1983/Q1;217.951152
1983/Q2;218.9825086
1983/Q3;220.3928082
1983/Q4;221.9376559
1984/Q1;223.7182989
1984/Q2;224.861039
1984/Q3;225.7770319
1984/Q4;226.5937727
1985/Q1;227.428525
1985/Q2;228.3973887
1985/Q3;229.4583381
1985/Q4;230.5477208
1986/Q1;231.4850515
1986/Q2;232.4838773
1986/Q3;233.5813788
1986/Q4;234.9751033
1987/Q1;234.4299325
1987/Q2;236.9279106
1987/Q3;239.8297516
1987/Q4;242.8480015
1988/Q1;246.3429601
1988/Q2;248.8056621
1988/Q3;250.9663918
1988/Q4;252.9816764
1989/Q1;255.2404449
1989/Q2;257.3838181
1989/Q3;259.5477136
1989/Q4;261.5850446
1990/Q1;264.644189
1990/Q2;266.0419675
1990/Q3;267.2009409
1990/Q4;268.3030419
1991/Q1;269.3914824
1991/Q2;270.8374621
1991/Q3;272.2433182
1991/Q4;273.2619341
1992/Q1;276.823162
1992/Q2;276.1899795
1992/Q3;275.1123995
1992/Q4;274.2274985
1993/Q1;270.2457753
1993/Q2;271.469791
1993/Q3;273.6716944
1993/Q4;276.3625417
1994/Q1;278.7359294
1994/Q2;281.0274332
1994/Q3;282.8786516
1994/Q4;284.3382428
1995/Q1;286.108
1995/Q2;287.48
1995/Q3;289.604
1995/Q4;290.664
1996/Q1;290.08
1996/Q2;292.292
1996/Q3;293.756
1996/Q4;296.072
1997/Q1;298.84
1997/Q2;303.276
1997/Q3;305.912
1997/Q4;307.664
1998/Q1;308.48
1998/Q2;309.508
1998/Q3;310.48
1998/Q4;311.248
1999/Q1;314.544
1999/Q2;318.78
1999/Q3;323.372
1999/Q4;327.188
2000/Q1;329.632
2000/Q2;331.8
2000/Q3;333.12
2000/Q4;336.072
2001/Q1;335.876
2001/Q2;335.68
2001/Q3;334.992
2001/Q4;334.796
2002/Q1;337.912
2002/Q2;340.88
2002/Q3;342.68
2002/Q4;343.744
2003/Q1;342.388
2003/Q2;342.732
2003/Q3;344.052
2003/Q4;346.616
2004/Q1;352.016
2004/Q2;355.468
2004/Q3;358.576
2004/Q4;359.72
2005/Q1;361.144
2005/Q2;362.948
2005/Q3;364.352
2005/Q4;367.268
2006/Q1;369.576
2006/Q2;370.784
2006/Q3;373.908
2006/Q4;377.936
2007/Q1;382.8
2007/Q2;384.304
2007/Q3;387.272
2007/Q4;389.228
2008/Q1;391.476
2008/Q2;392.1
2008/Q3;390.128
2008/Q4;381.96
2009/Q1;377.568
2009/Q2;377.156
2009/Q3;381.356
2009/Q4;384.576
2010/Q1;386.404
2010/Q2;390.304
2010/Q3;392.028
2010/Q4;393.648
2011/Q1;396.252
2011/Q2;397.396
2011/Q3;398.284
2011/Q4;398.552
2012/Q1;399.328
2012/Q2;398.556
2012/Q3;398.404
2012/Q4;397.924
2013/Q1;396.652
2013/Q2;398.56
2013/Q3;400.508
2013/Q4;401.692
2014/Q1;402.908
2014/Q2;403.908
2014/Q3;405.472
2014/Q4;406.716
2015/Q1;408.396
2015/Q2;410.3
2015/Q3;410.54
2015/Q4;412.504
2016/Q1;413.652
2016/Q2;416.716
2016/Q3;417.176
2016/Q4;418.264
2017/Q1;421.136
2017/Q2;423.108
2017/Q3;424.5348107
2017/Q4;426.1010438
2018/Q1;427.9005182